timestamp,x,y,z
1516786562688910,0.0898438,-0.45166,0.846191
1516786562703951,0.0380859,-0.419922,0.84668
1516786562726010,0.0493164,-0.470703,0.819824
1516786562749071,0.0800781,-0.579102,0.832031
1516786562763109,0.0961914,-0.531738,0.867188
1516786562786167,0.0952148,-0.50293,0.896484
1516786562810233,0.14209,-0.508301,0.883789
1516786562825273,0.161621,-0.47998,0.862793
1516786562846329,0.14209,-0.462891,0.888184
1516786562869391,0.114746,-0.436523,0.885742
1516786562885432,0.11084,-0.427246,0.883789
1516786562938573,0.114746,-0.433105,0.852051
1516786562939576,0.111328,-0.452637,0.86084
1516786562949604,0.120605,-0.456055,0.845703
1516786562966654,0.114258,-0.45752,0.834961
1516786562982692,0.121582,-0.464844,0.85791
1516786563007758,0.123047,-0.456055,0.864746
1516786563048899,0.10791,-0.411621,0.855957
1516786563058929,0.0932617,-0.412598,0.925781
1516786563064909,0.0981445,-0.528809,0.959473
1516786563087120,0.126465,-0.602051,0.835938
1516786563109026,0.199219,-0.618164,0.87793
1516786563123065,0.637207,-1.19336,0.835449
1516786563147300,0.37793,-1.48633,0.713867
1516786563169188,0.228027,-1.37305,0.708496
1516786563184229,-0.0415039,-0.785156,0.73877
1516786563207377,-0.119141,-0.487305,0.697754
1516786563229347,-0.269043,-0.569824,0.885254
1516786563243531,-0.366211,-0.31543,0.831055
1516786563267447,-0.327637,-0.228027,0.797363
1516786563289541,-0.291992,-0.17041,0.774414
1516786563303703,-0.133789,-0.109375,0.775879
1516786563326607,-0.0615234,-0.050293,0.77832
1516786563342650,-0.0302734,0.0180664,0.844727
1516786563363705,0.0161133,0.0166016,0.884277
1516786563386792,0.15918,-0.050293,0.989258
1516786563402807,0.34668,-0.116699,1.00977
1516786563424015,0.27832,-0.168945,1.16943
1516786563446928,0.474609,-0.349609,1.34766
1516786563462971,0.382324,-0.388184,1.31201
1516786563484179,0.265625,-0.196289,1.25146
1516786563507303,0.12793,-0.0541992,1.09521
1516786563522127,-0.0292969,0.015625,1.08643
1516786563543183,-0.0981445,-0.0800781,1.0625
1516786563567488,-0.0126953,-0.252441,0.980469
1516786563582303,0.0205078,-0.362793,0.869629
1516786563604344,0.00537109,-0.206055,0.746582
1516786563627504,0.157715,0.132813,0.874512
1516786563642465,0.252441,-0.550293,0.327637
1516786563665508,-0.0566406,0.454102,0.504395
1516786563686565,-0.206055,0.271484,0.833984
1516786563702607,0.0673828,0.0161133,0.49707
1516786563724802,0.228027,-0.582031,0.491211
1516786563746724,0.322266,-0.570801,0.500977
1516786563762767,0.349121,-0.231445,0.506348
1516786563784826,0.262695,-0.0742188,0.59082
1516786563807117,0.231934,-0.097168,0.559082
1516786563822927,0.126953,-0.220215,0.739258
1516786563844984,0.356934,-0.0341797,1.07568
1516786563867055,0.348633,-0.304199,1.41699
1516786563882235,0.316895,-0.329102,1.43018
1516786563905146,0.466797,-0.475098,1.31982
1516786563927407,0.469238,-0.482422,1.34521
1516786563942250,0.388184,-0.667969,1.3623
1516786563965337,0.219727,-0.70166,1.26465
1516786563986360,0.0478516,-0.657227,1.17578
1516786564002411,-0.00292969,-0.615723,1.03906
1516786564025485,0.0117188,-0.586914,0.923828
1516786564048527,0.0727539,-0.515137,0.833984
1516786564069614,0.130371,-0.40625,0.774414
1516786564084623,0.16748,-0.350586,0.743164
1516786564107684,0.183105,-0.321777,0.710938
1516786564129743,0.185059,-0.333008,0.681641
1516786564144781,0.19043,-0.342285,0.665039
1516786564167842,0.213379,-0.352051,0.664063
1516786564190906,0.245117,-0.352539,0.70166
1516786564204955,0.270996,-0.341309,0.770508
1516786564228006,0.293945,-0.350586,0.837891
1516786564251065,0.305176,-0.376465,0.914063
1516786564265102,0.302734,-0.371094,0.961914
1516786564288183,0.337891,-0.433594,0.954102
1516786564311361,0.319824,-0.567383,0.94873
1516786564332418,0.384766,-0.578125,1.02539
1516786564347322,0.564941,-0.688477,0.97998
1516786564361579,0.26709,-0.54834,1.02637
1516786564383564,0.215332,-0.398438,1.05127
1516786564406599,0.174805,-0.285645,1.06543
1516786564421663,0.18457,-0.21875,1.14307
1516786564444799,0.192871,-0.0375977,1.12305
1516786564466867,0.273926,-0.0722656,1.04102
1516786564481865,0.368652,-0.090332,1.06494
1516786564504977,0.431641,0.0576172,1.04932
1516786564526952,0.42334,0.231445,0.968262
1516786564540860,0.441895,0.364258,1.11719
1516786564563965,0.534668,0.404297,1.1792
1516786564579166,0.4375,0.20166,1.27832
1516786564601149,0.366699,0.148926,0.916016
1516786564624269,0.307617,0.449707,0.724121
1516786564639230,0.605469,0.583496,0.911621
1516786564661310,0.756836,0.424316,1.06641
1516786564684362,0.70459,0.509277,1.0542
1516786564698254,0.602051,0.558105,0.980469
1516786564721462,0.459473,0.583984,0.923828
1516786564744398,0.444824,0.628418,0.87207
1516786564758415,0.398438,0.608398,0.84668
1516786564781476,0.29834,0.581543,0.722656
1516786564803685,0.19873,0.568359,0.543945
1516786564818575,0.0854492,0.675781,0.445313
1516786564841730,0.0297852,0.659668,0.352051
1516786564864707,-0.019043,0.73584,0.319824
1516786564878873,-0.0825195,0.69043,0.218262
1516786564900796,-0.117676,0.670898,0.104492
1516786564923853,-0.304199,0.838867,0.0791016
1516786564938895,-0.682129,0.804688,0.124512
1516786564960952,-0.843262,0.604492,0.199219
1516786564984015,-0.65918,0.472168,0.434082
1516786564999055,-0.137695,0.365234,0.59668
1516786565021114,0.880371,0.491211,0.375977
1516786565052196,0.489258,1.94189,0.177734
1516786565059214,0.0834961,2.41309,-1.5293
1516786565081274,0.0639648,0.173828,-1.03906
1516786565103332,-0.443359,-2.66211,-0.618652
1516786565118372,-0.368652,-4.14648,0.144531
1516786565141432,0.171875,-2.07178,-0.321777
1516786565163490,-0.218262,-0.953613,0.106934
1516786565178531,-0.399414,0.438477,0.420898
1516786565201594,-0.338379,1.354,0.651367
