timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1516786562939576,2,5,26,26,7,2,2,1
1516786562939576,2,1,-3,7,-1,-3,-2,-1
1516786562940579,-5,-6,-7,-16,-7,-4,-3,-4
1516786562940579,-2,-5,-14,-13,-1,1,0,-1
1516786562945595,0,-1,3,-5,-2,0,2,0
1516786562945595,-1,-3,-9,-10,-2,-1,1,-2
1516786562946596,1,5,22,35,2,0,0,2
1516786562946596,-3,-6,-19,-14,-3,-5,-2,-4
1516786562951614,0,0,3,-2,-1,1,-1,-1
1516786562951614,0,6,8,16,4,1,-1,-1
1516786562961650,0,-1,0,-16,-7,-4,-1,-2
1516786562961650,3,5,20,25,12,6,2,1
1516786562974670,-5,-12,-26,-19,-9,-8,-5,-4
1516786562974670,-1,-3,8,-7,-14,-2,-2,1
1516786562981695,1,2,7,28,36,9,2,1
1516786562981695,-1,0,-6,-18,-10,-6,-4,-4
1516786562989710,2,2,3,3,-3,0,1,0
1516786562989710,1,0,1,-11,14,6,2,0
1516786563005907,-3,-4,-12,-7,-15,-7,-3,-3
1516786563005907,0,2,23,51,-2,-2,1,1
1516786563011775,-5,-7,-42,-46,-14,-6,-4,-6
1516786563011775,-2,0,17,0,-6,-2,-1,-1
1516786563059913,-2,-6,-24,-8,-3,-2,-3,-3
1516786563059913,2,2,29,-66,-29,-8,-5,0
1516786563060983,0,-4,-6,25,10,7,5,1
1516786563060983,0,9,2,35,2,-6,-1,-1
1516786563060983,-2,-9,7,-3,5,6,3,2
1516786563060983,-5,0,2,-12,-20,-20,-13,-7
1516786563064909,0,-5,-27,-27,-27,-4,7,3
1516786563064909,4,12,49,43,35,20,12,2
1516786563071078,0,-4,-24,22,7,-18,-4,3
1516786563071078,-9,-10,-43,-46,-37,-8,-17,-13
1516786563078958,4,8,53,67,78,44,30,6
1516786563078958,0,5,15,-14,-4,5,3,3
1516786563087971,1,7,26,32,5,13,6,-3
1516786563087971,5,3,10,13,44,15,2,6
1516786563101005,0,-2,-11,-7,-23,0,-5,2
1516786563101005,-5,-14,-34,-53,9,-6,-7,-6
1516786563110029,-3,7,43,28,1,-5,-12,-8
1516786563110029,-1,-4,-24,-7,-14,-7,2,-1
1516786563116047,-3,2,7,-10,-28,-22,-13,-9
1516786563116047,-6,-10,-18,17,-11,-28,-11,-6
1516786563131086,1,-1,-21,-77,-49,-17,-8,-2
1516786563131086,-2,2,9,38,20,4,11,2
1516786563138103,-1,2,-5,-6,16,9,-1,0
1516786563138103,1,-4,3,6,5,7,2,3
1516786563147300,-2,-4,-17,-25,19,19,3,1
1516786563147300,0,2,13,44,17,-1,2,-1
1516786563161385,-2,-6,-26,-34,-21,-24,-13,-6
1516786563161385,-3,-1,-2,-5,-34,-14,-7,-3
1516786563170191,0,4,-1,-23,-5,0,5,2
1516786563170191,3,3,15,23,19,15,6,5
