timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1516691213795543,-1,-4,-12,2,-6,-3,-3,1
1516691213795543,8,-5,0,2,6,0,2,2
1516691213796475,-4,6,8,2,2,3,5,4
1516691213796475,5,-2,-8,-5,-7,-4,-10,-6
1516691213796958,-5,2,1,-2,-1,-1,-3,2
1516691213796958,-6,3,3,-1,-1,1,10,18
1516691213798036,-1,-8,-3,0,-2,-5,-7,-19
1516691213798036,-1,8,2,4,3,3,4,6
1516691213808574,7,-15,-7,-8,-3,-2,-2,-4
1516691213808574,-8,0,-9,-8,-3,-3,-1,-1
1516691213817045,8,47,25,6,0,-2,-3,6
1516691213817045,-34,-56,-15,-2,-4,0,-3,-9
1516691213825066,15,58,21,9,2,1,1,4
1516691213825066,-2,3,-8,-1,-4,-1,-3,-3
1516691213838599,-2,6,-7,0,1,-2,1,-1
1516691213838599,-1,-48,-1,2,1,-3,-1,-2
1516691213850101,-1,3,0,3,1,-1,2,5
1516691213850101,3,12,-2,-7,-7,-4,-8,-17
1516691213853612,-3,-12,-5,0,2,0,0,1
1516691213853612,14,15,3,-2,0,-1,3,7
1516691213870152,-13,-19,-9,-4,-1,0,0,0
1516691213870152,4,4,5,3,-1,-2,-5,-12
1516691213877178,-4,-22,-6,-5,-1,-1,-1,0
1516691213877178,4,16,-8,-7,-3,-2,0,1
1516691213916781,-6,-13,-2,-10,1,0,-2,-2
1516691213916781,2,32,23,19,9,3,4,2
1516691213917277,9,4,1,-2,-4,-3,-1,2
1516691213917277,-2,-6,-7,2,-1,1,-4,-2
1516691213918321,10,3,-7,-9,-5,-2,-3,-1
1516691213918321,-47,-34,-19,-13,-4,-3,-1,-8
1516691213920825,3,-31,-28,-13,-8,-8,-7,-1
1516691213920825,12,63,51,21,9,7,4,2
1516691213929811,-5,-17,-6,4,-2,-3,-2,-2
1516691213929811,8,6,6,5,1,2,-1,0
1516691213935859,4,13,3,2,0,-2,0,-2
1516691213935859,-19,-60,-22,-7,2,-4,-1,-6
1516691213944850,1,12,7,0,-3,-1,1,0
1516691213944850,10,6,-3,6,1,0,-2,-1
1516691213966947,-11,-3,-1,-6,-2,-1,-1,-3
1516691213966947,8,18,5,-1,0,0,3,3
1516691213968959,-2,1,-2,4,1,0,0,0
1516691213968959,3,-13,-15,-10,-8,-5,-6,-1
1516691213973428,-6,4,11,2,5,5,3,-1
1516691213973428,-3,0,-7,-1,-2,-2,-3,-1
1516691213988499,1,-21,-2,2,-2,0,-3,-1
1516691213988499,2,0,10,7,3,1,0,1
1516691213995988,0,12,5,2,2,1,1,2
1516691213995988,-5,-28,-23,-9,-5,-3,-1,-1
1516691214004510,-9,4,-6,-13,-3,-3,-2,-5
1516691214004510,25,88,24,10,-1,-3,-1,4
1516691214018582,3,-9,20,15,8,6,1,2
1516691214018582,1,10,-6,1,-6,-2,-5,-3
1516691214035593,-2,-13,-11,-5,1,-4,-1,0
1516691214035593,-6,8,2,-12,-4,-2,2,-2
1516691214036094,21,1,-18,-2,-6,-5,-1,1
1516691214036094,-14,-49,4,-7,-3,-2,-8,-6
1516691214049631,5,22,14,11,6,3,4,4
1516691214049631,-4,-22,-10,-8,-3,-3,-2,0
1516691214055646,-7,-6,-10,-5,-1,0,-1,0
1516691214055646,4,2,-6,-8,-4,-1,1,0
1516691214064670,-3,-3,2,3,-1,-3,-4,-2
1516691214064670,1,-17,-2,-1,1,0,0,0
1516691214078297,-8,2,-3,-9,-4,-1,-3,-3
1516691214078297,0,0,-1,1,-2,-2,2,0
1516691214087230,-1,8,-4,-2,-3,-2,-3,-1
1516691214087230,1,3,-2,2,-1,1,-2,0
1516691214093247,-6,-2,3,0,1,1,-1,-2
1516691214093247,-1,19,9,4,0,0,-1,1
1516691214108286,4,-19,-4,-3,0,1,-2,0
1516691214108286,-7,-23,-8,1,-3,-1,-2,-3
1516691214115807,8,29,6,-5,-5,-3,0,0
1516691214115807,-9,-21,-21,-7,5,-2,-2,-2
1516691214124830,-1,17,8,-3,-4,-1,-1,-1
1516691214124830,0,1,1,-2,-2,0,-2,1
1516691214138366,-7,-7,-1,3,-2,2,-2,-2
1516691214138366,11,14,-1,-3,0,0,1,2
1516691214147391,-3,-1,4,7,0,0,0,-1
1516691214147391,-11,-47,-12,-3,-1,-2,-2,-4
1516691214153447,10,62,15,-5,-4,-3,0,2
1516691214153447,2,-11,-7,-5,3,-2,-1,0
1516691214176558,1,5,2,3,-1,0,1,-1
1516691214176558,-1,-10,-4,-2,-3,0,-2,-2
1516691214177496,-3,-12,-2,5,4,0,0,-2
1516691214177496,-1,-2,-2,-3,-7,-3,-1,-2
1516691214184528,-4,-5,-14,-6,-5,-2,-2,1
1516691214184528,3,6,0,-10,1,-2,0,-1
1516691214198543,-7,-26,-8,0,-1,-3,-4,-6
1516691214198543,2,15,4,4,-2,-2,-3,-1
1516691214207049,0,-1,-2,0,-2,2,-3,-3
1516691214207049,-3,3,-1,-3,2,0,2,0
1516691214213070,1,-4,-6,5,-1,-1,0,-1
1516691214213070,-4,-1,2,0,-2,-4,-4,-2
1516691214228191,-2,0,-3,-3,-3,-3,-1,0
1516691214228191,5,15,2,-5,-2,-2,-2,1
1516691214235627,-3,-6,-4,6,3,0,0,-1
1516691214235627,0,0,-4,0,-2,-1,0,0
1516691214244649,-1,-5,-2,-5,-3,-3,-1,-1
1516691214244649,4,26,13,6,3,2,1,0
1516691214258185,4,-17,10,11,1,4,0,2
1516691214258185,-12,14,4,8,6,0,0,-2
1516691214267226,-3,-1,-9,-1,2,-1,-2,-4
1516691214267226,-3,-2,-1,-7,-5,-4,-3,-2
1516691214289862,-3,-34,-19,-12,-6,-4,-4,-5
1516691214289862,1,16,6,-4,-3,-1,1,-1
1516691214291273,1,3,3,4,3,-1,-2,-1
1516691214291273,-1,-4,-2,2,0,1,0,0
1516691214295786,-3,16,5,-4,-1,-2,0,-1
1516691214295786,1,-15,-5,0,-2,-1,-1,-2
1516691214312329,-2,0,0,-2,0,-1,0,-1
1516691214312329,-1,-13,-5,-3,-4,-2,-2,-2
1516691214319882,-3,0,-4,5,5,-2,0,0
1516691214319882,-3,-12,-3,-10,-2,-1,1,0
1516691214327369,3,3,12,5,0,-1,0,2
1516691214327369,-3,-8,-2,10,1,1,-1,-1
1516691214341410,-3,11,6,-5,-2,-3,-1,0
1516691214341410,-2,-13,-11,-6,-5,-4,-1,-2
1516691214348425,-1,3,-2,-4,2,1,-1,-3
1516691214348425,-1,9,5,-1,-1,-1,0,1
1516691214355948,-4,-32,-13,-3,-1,0,-2,-1
1516691214355948,-2,-7,5,-3,-7,1,-3,-3
1516691214364506,9,-2,-2,3,4,0,0,3
1516691214364506,-6,-16,-13,-5,-2,0,-2,-1
1516691214378095,4,34,15,4,1,-1,-1,-1
1516691214378095,0,-23,0,9,2,2,0,-1
1516691214387047,-9,10,4,4,1,0,0,-3
1516691214387047,2,-9,-7,-2,-2,-2,-2,-1
1516691214401566,-5,-8,-7,-12,-3,0,-1,0
1516691214401566,9,11,2,1,1,-2,1,0
1516691214408178,-4,-7,-7,-1,-4,0,0,0
1516691214408178,-1,-6,3,-3,0,0,-1,-2
1516691214415604,-3,8,7,5,-1,-2,0,-3
1516691214415604,-3,-10,-10,-3,6,1,-2,0
1516691214424629,-1,0,6,-3,-3,-1,1,0
1516691214424629,-5,-21,-8,-7,-6,-4,-1,-2
1516691214438249,0,6,-2,-1,0,-1,-1,-1
1516691214438249,0,10,7,6,3,1,-1,1
1516691214447188,-2,-8,-3,3,2,1,-1,1
1516691214447188,4,24,6,-3,-2,-2,0,-2
1516691214461309,-11,-41,-14,-12,-7,-4,-2,-5
1516691214461309,-1,5,2,8,2,-2,-2,0
1516691214468243,1,-3,-3,-9,-5,-1,-3,0
1516691214468243,-2,-2,-6,3,1,0,0,0
1516691214475764,-3,3,-4,-7,-2,0,0,0
1516691214475764,-1,6,3,2,-3,-2,1,-2
1516691214484899,2,4,-1,-7,-5,-2,-1,-1
1516691214484899,2,5,1,1,0,-1,0,1
1516691214498502,1,-33,-24,-7,-2,-2,-3,0
1516691214498502,2,37,13,1,-1,-1,-1,1
1516691214507452,-2,-12,5,10,0,3,-2,-3
1516691214507452,-4,1,-1,-2,1,0,-1,-2
1516691214521519,-2,0,2,2,-1,-1,-2,1
1516691214521519,6,-4,-8,-7,-3,-1,1,1
1516691214528509,-13,-12,-5,-6,0,-2,-2,-4
1516691214528509,1,2,5,1,-3,-1,-4,-1
1516691214535527,5,6,-1,1,2,2,0,1
1516691214535527,0,-4,0,-2,-4,-2,1,7
1516691214550566,0,12,1,-3,-5,-4,-1,-1
1516691214550566,-1,-16,-14,-3,1,-1,-2,-3
1516691214558120,-1,12,14,0,-4,0,-3,-2
1516691214558120,0,1,6,11,8,4,2,0
1516691214567169,1,5,2,4,1,-2,1,-1
1516691214567169,1,-11,-11,-5,-3,-2,0,-1
1516691214581208,-1,9,1,0,-1,-2,0,-2
1516691214581208,-4,-5,-9,-9,-5,-3,-3,-4
1516691214589730,-2,-5,5,-2,0,-1,1,0
1516691214589730,1,8,-2,1,0,0,0,0
1516691214595746,-1,6,7,8,1,1,0,-2
1516691214595746,-1,-8,-13,-12,-6,-3,-4,-1
1516691214610823,4,3,1,3,4,0,1,-1
1516691214610823,-4,2,1,0,-1,-1,-1,-4
1516691214618342,-5,-11,-5,-5,-4,-3,-1,1
1516691214618342,-3,0,3,1,-1,1,1,-3
1516691214627330,1,1,-3,4,2,1,-3,-1
1516691214627330,-4,-10,-5,-6,-7,-2,-1,-1
1516691214641367,0,5,5,13,2,-1,1,1
1516691214641367,0,1,0,-4,-1,-2,-1,-2
1516691214648387,1,4,-4,-1,-4,-3,-2,-1
1516691214648387,-5,-24,-7,-3,-3,0,-2,0
1516691214655904,-4,-3,-4,-3,1,-1,-1,-8
1516691214655904,0,5,4,3,-4,1,0,0
1516691214670944,6,-6,-17,-12,-7,-2,1,8
1516691214670944,-4,0,6,-8,3,1,1,1
1516691214678478,5,13,20,26,6,3,2,3
1516691214678478,-4,-8,-7,-4,-5,-1,-4,-4
1516691214687490,-9,-2,-3,-4,-2,-2,-3,-7
1516691214687490,1,-2,-7,-6,-5,-3,-1,0
1516691214701563,1,0,-7,-7,4,1,-1,-1
1516691214701563,-3,-1,3,1,-1,-1,-3,-5
