timestamp,x,y,z
1516691213628422,-14,-19.8125,15.4375
1516691213652487,-5.75,-16,9.375
1516691213668030,-1.375,-14,-4.6875
1516691213688665,7.4375,-9.25,-7.25
1516691213712232,1.6875,-2.9375,0.4375
1516691213727302,-7.125,0.4375,-1.125
1516691213749331,-8.5,0.625,0.0625
1516691213788035,-5.5625,2.5625,6
1516691213790038,0.5625,6.1875,-0.0625
1516691213802002,0.75,10.75,-7.5625
1516691213824060,0.8125,18.5625,-6.6875
1516691213847592,-5.4375,23.75,-3.0625
1516691213869184,-9.8125,23.75,1.625
1516691213905784,-9.0625,20.5625,3.6875
1516691213915817,-6.875,15.75,-2.0625
1516691213928809,-2.9375,9.6875,-7.25
1516691213943848,2.8125,-2.6875,0.125
1516691213967949,2.125,-10.5,1.9375
1516691213980976,0.0625,-16.3125,-7.5
1516691214004093,0.5625,-22.375,-15.375
1516691214034590,-3.125,-24.5,-20.125
1516691214049213,-5.125,-25.625,-14.5625
1516691214064169,-7,-27.75,-6.5625
1516691214086248,-5.0625,-26.4375,-8.5625
1516691214100766,-4.9375,-25.625,-12.625
1516691214123828,-3.8125,-23.375,-16.375
1516691214146388,-6.9375,-23.1875,-16.6875
1516691214168985,-8.625,-19.8125,-12.25
1516691214183989,-7.9375,-18,-7.625
1516691214206632,-11.3125,-15.4375,-10.375
1516691214220669,-11.9375,-15.3125,-9.1875
1516691214244148,-10.6875,-13.1875,-6.6875
1516691214266239,-7.0625,-11.5,-4.5625
1516691214290270,-9.25,-12.75,-4.3125
1516691214311409,-9.875,-10.25,-3.8125
1516691214326868,-8.875,-6.6875,-2.9375
1516691214342413,-6.5,-4.4375,-4.0625
1516691214363968,-5,-2.4375,-4.4375
1516691214386566,-6.9375,-1.75,-1.875
1516691214402067,-8.375,-1.6875,1.1875
1516691214424209,-9.0625,-0.0625,0.3125
1516691214446726,-7.8125,2.75,0.6875
1516691214462228,-5.3125,5.375,1.875
1516691214483896,-7.8125,5.3125,4.5625
1516691214506543,-8.8125,4.1875,5.8125
1516691214521991,-7.1875,5.75,8.5
1516691214543067,-3.5,8.0625,8.5625
1516691214566669,-0.25,12.25,7.5
1516691214588763,-3.125,14,5.3125
1516691214603309,-5.3125,14.9375,3.0625
1516691214626328,-5.625,13.3125,3.875
1516691214642409,-6.25,12.4375,2.75
