timestamp,x,y,z,w
1516691213628422,-0.166931,-0.0688477,-0.571594,-0.800476
1516691213652487,-0.16626,-0.065918,-0.572571,-0.800171
1516691213668030,-0.16626,-0.0646973,-0.571411,-0.801086
1516691213688665,-0.168518,-0.0643921,-0.570068,-0.801636
1516691213712232,-0.170532,-0.0643921,-0.569885,-0.801331
1516691213727302,-0.170288,-0.0646973,-0.569641,-0.801514
1516691213749331,-0.168457,-0.06427,-0.569763,-0.80188
1516691213788035,-0.167419,-0.0631104,-0.570862,-0.801392
1516691213790038,-0.168274,-0.0628052,-0.571167,-0.800964
1516691213802002,-0.169128,-0.0635986,-0.570557,-0.801208
1516691213824060,-0.170288,-0.0654907,-0.57019,-0.801086
1516691213847592,-0.170715,-0.0667114,-0.570679,-0.800537
1516691213869184,-0.171082,-0.0668945,-0.571899,-0.799561
1516691213905784,-0.171143,-0.0662231,-0.573486,-0.798462
1516691213915817,-0.171021,-0.0661011,-0.573914,-0.798218
1516691213928809,-0.17157,-0.065918,-0.573425,-0.798462
1516691213943848,-0.173157,-0.0650635,-0.573425,-0.798157
1516691213967949,-0.174927,-0.0633545,-0.573364,-0.797974
1516691213980976,-0.176025,-0.0618896,-0.571777,-0.799011
1516691214004093,-0.177551,-0.0610352,-0.568665,-0.800903
1516691214034590,-0.179016,-0.0599976,-0.564758,-0.803467
1516691214049213,-0.180054,-0.0578003,-0.561707,-0.805481
1516691214064169,-0.180359,-0.0542603,-0.559937,-0.806885
1516691214086248,-0.180664,-0.0513306,-0.557861,-0.808472
1516691214100766,-0.180908,-0.0493774,-0.555054,-0.810425
1516691214123828,-0.181396,-0.0482178,-0.551758,-0.812683
1516691214146388,-0.181274,-0.0466309,-0.548462,-0.815002
1516691214168985,-0.180603,-0.0447388,-0.546021,-0.816956
1516691214183989,-0.179932,-0.0429688,-0.54425,-0.818298
1516691214206632,-0.179138,-0.041626,-0.542114,-0.820007
1516691214220669,-0.177856,-0.0404053,-0.540161,-0.821594
1516691214244148,-0.176453,-0.0394287,-0.538635,-0.822937
1516691214266239,-0.175903,-0.0389404,-0.537476,-0.823914
1516691214290270,-0.175293,-0.0377808,-0.536316,-0.824829
1516691214311409,-0.174561,-0.0368652,-0.535278,-0.825684
1516691214326868,-0.173462,-0.0361328,-0.534607,-0.826416
1516691214342413,-0.172546,-0.0360718,-0.533752,-0.827087
1516691214363968,-0.17218,-0.0366821,-0.532837,-0.827759
1516691214386566,-0.171387,-0.0370483,-0.53241,-0.828186
1516691214402067,-0.170105,-0.0366821,-0.532471,-0.82843
1516691214424209,-0.168762,-0.0359497,-0.532532,-0.828674
1516691214446726,-0.16748,-0.0357666,-0.532776,-0.828796
1516691214462228,-0.166565,-0.0366211,-0.533142,-0.828735
1516691214483896,-0.165222,-0.0374756,-0.533813,-0.828491
1516691214506543,-0.163452,-0.0375977,-0.53479,-0.828247
1516691214521991,-0.161438,-0.0374756,-0.536255,-0.827698
1516691214543067,-0.15979,-0.0377808,-0.537781,-0.826965
1516691214566669,-0.158691,-0.0393677,-0.539246,-0.826172
1516691214588763,-0.157104,-0.0412598,-0.540344,-0.825684
1516691214603309,-0.155273,-0.0430908,-0.541199,-0.825378
1516691214626328,-0.152954,-0.0444946,-0.542175,-0.825073
1516691214642409,-0.15094,-0.0454102,-0.542969,-0.82489
1516691214663424,-0.149963,-0.0467529,-0.543518,-0.824646
1516691214686488,-0.149048,-0.0482178,-0.543457,-0.824768
1516691214702029,-0.14801,-0.0490723,-0.543152,-0.825073
1516691214723084,-0.14679,-0.0490112,-0.542664,-0.825623
1516691214746145,-0.146179,-0.0488892,-0.542114,-0.826111
1516691214762188,-0.145996,-0.0490112,-0.541748,-0.826355
1516691214783334,-0.146301,-0.0493164,-0.541077,-0.826721
1516691214806397,-0.145813,-0.048645,-0.540405,-0.827332
1516691214822432,-0.145142,-0.0476074,-0.539612,-0.828003
1516691214843404,-0.145264,-0.046814,-0.539063,-0.828369
1516691214866503,-0.14563,-0.0458984,-0.538879,-0.828491
1516691214882546,-0.146179,-0.0447998,-0.539063,-0.828369
1516691214904566,-0.146301,-0.0431519,-0.539429,-0.828186
1516691214928162,-0.146606,-0.0410767,-0.540222,-0.827698
1516691214942167,-0.147156,-0.0390015,-0.541504,-0.826843
1516691214964755,-0.148132,-0.0367432,-0.542419,-0.826233
1516691214987788,-0.149597,-0.03479,-0.543213,-0.8255
1516691215002338,-0.150452,-0.0328369,-0.544312,-0.824646
