timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1,-12,-20,3,5,-10,2,-6,-7
1,-2,-16,-2,-7,-23,-10,-4,4
1,-2,-17,1,0,1,-8,-2,1
1,-3,-19,-4,1,-12,5,6,-1
1,-2,-29,-1,-3,-6,-4,-7,-4
1,-11,-14,4,-3,-10,-3,-5,-4
1,4,-12,-5,5,-4,3,9,6
1,-8,-27,-1,-10,-17,-6,-11,-5
1,-2,-17,2,-11,-16,-3,0,-3
1,11,5,-7,-5,2,1,6,6
1,-11,-19,-1,0,-26,-2,-8,-8
1,-3,-19,2,-6,-5,-2,-4,-2
1,1,-15,-1,2,0,-5,1,2
1,-2,-21,-6,9,-8,5,4,-3
1,-5,-29,0,-6,-1,-2,-4,-2
1,-7,-16,4,0,-8,-6,-5,-3
1,0,-11,-4,2,-10,5,6,4
1,-8,-26,1,6,-11,-7,-4,-4
1,-2,-16,-3,-7,-8,-1,-4,-5
1,8,1,-6,5,5,8,6,10
1,-11,-19,0,-4,-20,-2,-7,-6
1,-5,-20,3,3,-14,0,-3,1
1,4,-15,0,-2,7,-2,-1,4
1,-4,-20,-7,-5,-13,2,4,2
1,-4,-28,-1,3,-3,-3,-2,-4
1,-9,-17,4,-6,-8,-5,-5,-7
1,4,-10,-5,2,-5,4,7,6
1,-9,-25,5,-5,-15,-6,-5,-3
1,-5,-15,-4,5,-11,-4,-5,-3
1,6,-1,-4,-3,-1,3,7,6
1,-11,-24,1,11,-15,-5,-6,-7
1,-4,-19,-2,-6,-11,-3,-3,-4
1,4,-16,0,-2,7,-2,2,8
1,-5,-21,-6,0,-12,5,2,-1
1,-3,-25,2,-4,-10,2,-5,-3
1,-8,-19,1,2,-14,-8,-6,-7
1,4,-3,-7,-6,0,3,8,6
1,-6,-26,1,-2,-4,-3,-7,1
1,-6,-15,4,-6,-9,-6,-4,-3
1,5,-10,-4,1,15,8,8,6
1,-8,-24,-4,-7,-29,-5,-10,-6
1,-4,-21,3,4,-3,-5,-4,-2
1,4,-17,0,8,5,0,2,4
1,-6,-19,-7,-10,-13,-1,0,-4
1,-2,-24,0,-4,-13,-3,-4,2
1,-8,-18,5,-4,-13,-2,-6,-6
1,2,-7,-7,-6,-4,5,8,3
1,-7,-26,-1,-5,-20,-6,-7,-4
1,-8,-17,4,3,-6,-4,1,-5
1,6,-3,-5,4,-9,5,6,6
1,-10,-24,-3,-2,-12,-8,-8,-7
1,-4,-17,0,-2,-12,1,-3,-3
1,2,-18,1,2,3,3,1,3
1,-6,-20,-4,-2,-16,1,-2,-3
1,-5,-27,0,-4,-7,-1,-4,-3
1,-4,-18,2,5,-10,-5,-8,-2
1,5,-12,-10,-7,-5,7,7,5
1,-9,-30,0,6,-13,-6,-7,-3
1,-3,-16,3,-4,-15,-3,-6,-1
1,9,-6,-4,1,1,3,8,6
1,-9,-25,2,0,-11,-3,-5,-6
1,-3,-17,-1,-6,-10,-3,-3,-3
1,4,-16,-2,2,0,-1,2,6
1,-7,-20,-3,4,-14,2,0,-5
1,-6,-24,1,-5,-14,-2,-3,-3
1,-4,-17,-2,-16,-6,-7,-7,-5
1,5,-15,-6,3,-11,8,7,7
1,-6,-23,3,-2,-18,-4,-7,-6
1,-7,-16,2,6,-10,-2,-6,-3
1,7,-9,-1,1,1,7,7,5
1,-13,-23,1,-3,-20,-4,-9,-10
1,-4,-18,-1,-9,-10,-3,-3,-1
1,5,-13,-3,3,6,-2,1,7
1,-7,-18,-5,1,-13,0,-3,-2
1,-8,-25,2,-3,-4,-1,-6,-3
1,-4,-18,3,5,-1,-4,-5,-1
1,6,-18,-3,3,-11,1,8,4
1,-5,-31,-2,-5,-7,-4,-7,-1
1,-9,-16,-2,2,-8,-1,-3,-3
1,6,-7,-5,-1,-1,3,5,7
1,-11,-23,1,0,-22,-3,-5,-11
1,-1,-15,3,1,-7,-2,0,-2
1,10,-11,-4,-3,4,-3,3,6
1,-7,-19,-4,-4,-10,-1,-1,-6
1,-5,-31,1,-1,-14,-5,-4,-1
1,-5,-17,4,-2,-1,-4,-8,-4
1,1,-20,-5,4,-14,8,11,5
1,-4,-29,1,-1,-5,-6,-2,-4
1,-6,-16,1,-3,-11,3,-6,-4
1,8,7,-6,3,5,2,6,5
1,-11,-21,2,-13,-24,-6,-8,-8
1,-5,-16,0,5,-4,1,-3,3
1,4,-10,-2,2,3,0,1,5
1,-6,-22,-8,-12,-13,3,1,-5
1,-3,-24,3,-1,0,-3,-6,0
1,-4,-18,4,6,-5,-3,-6,-4
1,1,-20,-8,-4,-10,8,4,4
1,-2,-33,4,12,-5,-2,-6,-2
1,-5,-18,-1,0,-27,-8,-5,-9
1,9,10,-6,1,7,6,10,12
1,-12,-19,1,-1,-18,-9,-10,-4
1,-3,-17,2,0,-9,-3,-3,-1
1,5,-11,-1,4,5,4,3,9
1,-4,-23,-2,-3,-14,-2,-4,-5
1,-4,-27,-3,-4,-10,-1,-4,-4
1,-5,-18,3,1,-6,-6,-5,-2
1,-1,-22,-10,2,-11,6,7,4
1,-4,-36,-2,-2,-21,-6,-6,-3
1,-8,-18,5,-2,-15,-1,-7,-6
1,10,3,-5,-1,-3,1,7,9
1,-12,-24,-3,-1,-14,-6,-11,-8
1,-5,-19,4,-5,-7,-1,-1,0
1,8,-13,-1,5,6,2,6,4
1,-9,-24,-3,-4,-20,2,-3,-4
1,-2,-22,2,-2,-3,-1,0,-3
1,-4,-19,2,0,-7,-6,-4,-4
1,-2,-21,-6,2,-10,4,5,5
1,-6,-33,1,-8,-11,-5,-6,1
1,-9,-19,2,-4,-13,-3,-9,-6
1,9,-1,-8,-3,-2,6,7,6
1,-12,-25,3,-5,-21,-5,-8,-5
1,-4,-18,-1,4,-12,0,-1,-6
1,8,-14,-2,-3,8,4,4,9
1,-9,-23,-4,2,-26,1,-4,-6
1,-1,-25,1,3,-5,0,-3,-2
1,-3,-19,3,3,-9,-5,-2,1
1,-2,-22,-8,-3,-14,5,7,-1
1,-7,-32,-4,-3,-20,-4,-8,1
1,-8,-17,1,1,-7,-7,-7,-7
1,6,-8,-6,0,-7,8,11,7
1,-9,-26,3,3,-15,-8,-8,-6
1,-6,-18,3,-4,-11,-1,-2,-2
1,4,-17,-5,5,6,0,4,5
1,-11,-21,-4,-6,-22,1,-5,-8
1,-5,-19,0,2,-6,-1,-4,-2
1,-1,-18,2,1,-5,-1,-1,5
1,-1,-19,-6,0,-11,4,7,1
1,-7,-33,1,-2,-4,-3,-3,-1
1,-10,-18,1,-3,-13,-4,-7,-8
1,4,-9,-5,-1,-5,9,8,5
1,-10,-27,4,4,-4,-2,-7,-5
1,-5,-17,-1,-3,-22,-2,-4,-4
1,4,-10,-11,-3,9,-1,6,7
1,-13,-21,0,-1,-21,-3,-7,-9
1,-4,-18,2,-2,-8,-1,-2,-2
1,-4,-17,4,5,5,2,-2,6
1,0,-21,-6,-7,-14,3,4,2
1,-5,-28,-1,-9,-17,-7,-9,-3
1,-9,-16,1,-3,-11,0,-7,-5
1,0,-12,-9,8,-7,5,7,3
1,-8,-26,4,-6,-19,-3,-7,-5
1,-1,-18,4,6,-9,-3,-3,-4
1,10,-2,-2,-9,1,2,4,11
1,-11,-19,-8,-5,-28,-9,-8,-9
1,-3,-22,6,5,-1,1,-2,-2
1,-1,-17,1,2,-2,-4,0,4
1,-3,-21,-6,-2,-13,3,3,-2
1,-1,-27,3,-2,-6,-4,-6,-4
1,-8,-17,-3,-9,-17,-5,-9,-9
1,3,-13,-8,3,-6,6,10,5
1,-7,-26,2,0,-11,-8,-7,-5
1,-6,-17,0,-5,-7,2,-6,-4
1,5,3,-9,-1,3,2,6,11
1,-12,-20,1,-7,-21,-3,-7,-11
1,-6,-21,-4,-3,-20,-1,-2,0
1,6,-16,4,2,3,-2,-1,4
1,-3,-22,-5,4,-17,5,2,-1
1,-6,-29,-1,-1,-6,-3,-3,0
1,-8,-18,-1,-2,-16,-5,-7,-4
1,5,-11,-7,-2,-7,8,9,3
1,-8,-28,5,-2,-11,-2,-7,-2
1,-7,-17,-2,-2,-5,-1,-8,-1
1,5,-1,-3,-4,-1,7,6,6
1,-10,-22,0,-2,-22,-7,-6,-6
1,-1,-21,8,1,0,-2,-5,-1
1,6,-17,-6,4,6,-7,1,1
1,-4,-22,-6,-4,-15,3,0,2
1,-7,-31,1,-3,-9,-2,-4,-4
1,-7,-20,5,5,-18,-5,-4,-3
1,3,-5,-2,0,-2,7,8,7
1,-9,-26,-3,-9,-17,-10,-11,-3
1,-6,-16,3,4,-3,1,-5,-3
1,4,-2,-3,1,2,6,6,6
1,-11,-27,0,-2,-20,-1,-8,-10
1,-3,-21,-4,3,-8,1,-5,-3
1,4,-18,-1,2,1,-11,-1,6
1,-7,-23,-7,0,-22,2,-1,-2
1,-3,-28,5,0,-14,0,-1,0
1,-6,-21,5,-2,-12,-5,-6,-4
1,7,-8,-10,-3,-9,8,10,7
1,-7,-27,1,5,-6,-4,-9,-3
1,-7,-17,3,-3,-5,-3,-5,0
1,8,-6,-1,2,-3,4,7,4
1,-9,-26,-1,-6,-12,-1,-3,-6
1,-4,-21,-4,-10,-14,-5,-4,-5
1,3,-20,2,5,5,-1,-1,2
1,-8,-21,-5,1,-14,0,0,-5
1,-6,-29,0,-4,-13,0,-5,-3
1,-7,-22,5,8,-14,-14,-12,-3
1,6,-13,-15,-20,-10,4,10,7
2,9,0,-8,2,-16,3,8,8
2,-11,-25,0,-5,-27,-8,-11,-8
2,-3,-19,-2,0,-20,-4,0,-3
2,3,-16,2,-6,0,3,3,9
2,-9,-24,-3,-6,-16,2,-1,-8
2,-6,-32,7,11,-10,3,-1,-2
2,-6,-20,0,-10,-3,-5,-12,-3
2,3,-17,-10,1,-12,3,3,6
2,-8,-31,3,-1,-2,1,-3,-7
2,-12,-17,-3,-3,-11,-2,-2,-5
2,7,-8,-1,-1,5,7,7,7
2,-13,-25,-5,-10,-18,-6,-10,-9
2,1,-19,4,-1,-1,-1,-5,2
2,5,-12,-2,6,-5,0,2,3
2,-9,-21,-2,4,-7,3,-1,-6
2,-8,-30,0,-1,-5,-2,-7,-3
2,-7,-20,1,-3,-7,-5,-7,-4
2,1,-19,-7,-2,-8,8,6,7
2,-8,-33,2,3,-2,-4,-5,-6
2,-4,-16,5,2,-17,-1,-3,-7
2,4,-9,-6,3,0,3,10,4
2,-12,-26,-4,-18,-36,-11,-13,-8
2,-4,-17,2,5,-5,3,-4,-1
2,5,-11,-2,0,-10,-1,4,6
2,-9,-22,-7,-5,-13,2,-3,-3
2,-4,-29,4,5,-9,-5,-7,-2
2,-6,-19,2,-5,-8,-5,-5,-3
2,1,-21,-7,3,-10,8,8,5
2,-3,-29,-1,0,-18,-1,-4,-2
2,-4,-17,5,0,-19,-4,-5,-5
2,6,4,-6,4,-1,4,7,10
2,-13,-23,-2,-1,-22,-6,-9,-7
2,-9,-17,-4,-10,-13,-10,-9,-5
2,5,-11,-6,-5,19,4,6,8
2,-7,-23,-1,6,-17,0,-4,-7
2,-10,-28,4,5,-10,-4,-4,-5
2,-5,-19,4,-5,-4,1,-5,0
2,-2,-22,-13,1,-11,3,9,0
2,-5,-29,-5,-5,-19,-7,-10,-5
2,-3,-17,7,2,-13,-2,-4,-4
2,7,7,-1,6,3,7,11,8
2,-15,-27,8,9,-8,-1,-12,-8
2,-3,-19,-2,-14,-18,-3,-3,-3
2,8,-12,-4,9,12,-1,1,6
2,-6,-25,-1,0,-9,3,-4,-7
2,-3,-23,0,-5,-11,-5,-3,2
2,-3,-20,5,5,-2,-5,-4,1
2,-3,-22,-8,-7,-12,6,2,1
2,-5,-28,-3,-7,-14,-7,-6,1
2,-4,-18,4,7,-14,0,-7,-5
2,4,1,-5,1,4,11,13,2
2,-12,-25,5,1,-19,-2,-10,-8
2,-2,-21,1,-6,-7,-2,-2,-1
2,4,-12,-12,-1,7,1,6,8
2,-6,-24,0,4,-13,-1,-7,-5
2,-5,-25,4,-3,-10,-7,-2,2
2,-4,-22,6,6,-8,-5,-4,-3
2,-4,-23,-6,-1,-11,4,8,-1
2,-6,-38,3,-7,-28,-8,0,0
2,-9,-19,3,0,-10,-4,-3,-6
2,8,0,-3,5,-5,8,3,7
2,-12,-26,0,-14,-21,-14,-9,-5
2,-6,-19,-2,7,-12,2,-5,-2
2,8,-14,0,0,-2,-1,7,10
2,-11,-25,-8,-7,-20,4,-3,-7
2,-3,-20,-1,-14,-20,-3,-8,0
2,-3,-19,0,2,-3,-2,-2,1
2,-2,-21,-4,-2,-14,-8,-4,-2
2,-8,-40,5,2,-4,-1,-5,1
2,-10,-19,3,-2,-7,-4,-15,-10
2,7,-5,-9,-4,-7,13,17,9
2,-12,-26,-6,-9,-33,-17,-14,0
2,-6,-18,-2,-4,-14,2,-5,-2
2,8,-18,4,18,15,19,12,2
2,-10,-23,-4,-19,-29,-19,-16,0
2,-2,-25,-3,-7,0,12,3,-5
2,-1,-21,2,3,-10,0,8,2
2,0,-23,-7,-2,-17,14,-11,5
2,-9,-40,5,5,-4,3,3,-8
2,-11,-20,5,-8,-10,7,-2,-10
2,4,-12,-11,-7,-7,-10,9,5
2,-8,-30,-1,2,-8,-12,-10,-9
2,-13,-19,4,0,-15,4,-8,-3
2,8,-8,-3,8,15,6,0,3
2,-16,-23,4,-2,-31,15,-3,-8
2,-9,-21,-15,10,-25,-6,4,-9
2,0,-17,5,-8,4,16,-10,6
2,-3,-23,-5,7,-15,-9,10,1
2,-6,-33,3,1,-14,-7,-9,-4
2,-10,-19,6,-23,-5,-1,-6,-3
2,5,-10,-10,27,-10,-14,27,3
2,-11,-38,-13,-12,4,-12,-15,-1
2,-5,-18,12,4,1,14,-3,-20
2,6,-1,3,3,-12,0,12,12
2,-5,-22,0,8,-30,-8,-14,-19
2,-16,-23,0,-17,24,-35,-3,10
2,-2,-20,-20,4,-14,-11,-3,2
2,-6,-26,3,7,-3,-30,6,4
2,-5,-38,6,0,-13,2,-18,-1
2,-14,-20,1,-3,-24,7,-36,-24
2,14,-9,-3,8,-14,-4,16,27
2,-2,-41,12,1,-26,-2,9,0
2,0,-20,-6,-22,-26,-22,3,4
2,11,2,-2,10,-7,11,25,4
2,-15,-32,-7,-10,-31,-12,-15,-9
2,-7,-23,5,9,-10,14,-10,-12
2,-2,-22,10,-4,20,7,-2,4
2,-4,-28,-19,-12,-23,-10,4,-14
2,1,-40,-10,-17,-21,-11,3,18
2,-11,-24,9,17,-17,19,-14,-19
2,-5,-10,-14,-9,-8,-4,-10,0
2,-11,-36,5,0,-12,15,1,-6
2,-4,-20,13,11,5,-6,-31,-11
2,5,2,-15,-30,-14,2,11,14
2,-16,-34,-11,5,-28,-10,-6,-16
2,-7,-25,12,11,-18,-2,-33,11
2,9,-23,12,7,-7,-23,-1,5
2,-13,-29,3,14,-8,-6,-9,5
2,-10,-38,-14,-20,-46,-8,-6,-23
2,1,-24,-3,1,-25,7,5,18
2,-14,-12,3,15,-10,4,-26,-4
2,-2,-39,-19,-37,-41,-49,28,-5
2,-1,-20,27,44,-5,13,-3,5
2,4,-11,15,16,13,-2,6,1
2,-24,-34,-40,-39,57,-7,-5,2
2,2,-22,14,43,-8,6,-19,3
2,1,-25,5,-7,25,-4,-9,15
2,-15,-26,-10,9,-33,-17,-10,-26
2,8,-40,42,68,3,-5,62,1
2,-15,-28,-23,-82,-4,-11,-24,-13
2,25,-20,-24,55,-8,3,32,31
2,-27,-44,17,27,-32,-3,3,-10
2,-14,-23,-2,-28,-22,23,-16,-7
2,27,5,20,52,-3,25,17,18
2,-18,-32,11,-59,-53,-32,-30,-24
2,-4,-23,-45,-89,38,-3,-3,6
2,6,-15,6,28,-17,26,-8,0
2,-12,-33,-9,10,-17,-13,-9,-3
2,-2,-31,15,-6,-20,-23,-44,-9
2,-4,-25,27,21,-28,29,-10,-5
2,12,-23,-17,-40,-34,-27,-12,6
2,-9,-60,-15,-5,-12,-3,-19,-36
2,-8,-25,0,-5,-21,13,2,1
2,16,5,15,25,-11,-5,14,7
2,-13,-36,-28,-72,-74,-27,0,2
2,-3,-20,5,29,-37,-16,1,3
2,0,-18,5,14,20,34,4,-7
2,-9,-33,-9,19,-31,4,-7,1
2,6,-35,1,-41,-16,-22,-15,1
2,-10,-26,-9,-10,-8,-8,-18,-4
2,4,-29,-30,3,-21,-6,24,8
2,4,-34,17,-1,-17,-1,-37,-5
2,-22,-24,10,29,-26,22,10,-9
2,-1,0,1,-11,6,15,-16,31
2,-20,-21,-11,-23,-11,4,3,-18
2,10,-28,6,16,-22,42,-12,2
2,-20,-19,4,31,3,8,-20,-10
2,-5,-28,2,-19,-19,-13,-5,-11
2,-5,-24,10,10,-25,19,20,8
2,6,-27,-3,3,-17,-23,6,-6
2,-12,-25,-43,-20,-18,-22,16,6
2,-14,-48,10,13,-10,15,-5,1
2,-13,-28,5,-24,-11,17,-2,-11
