timestamp,x,y,z
1516786562688910,-1.875,-5.1875,-11.125
1516786562703951,-15.75,-4.0625,-15.5
1516786562726010,-35.875,-0.5625,-13.75
1516786562749071,-28.5625,4.3125,-7
1516786562763109,-2.8125,6.6875,-6.8125
1516786562786167,9.6875,5.8125,-11.8125
1516786562810233,5.6875,3.1875,-12.3125
1516786562825273,4.75,-1.875,-10.8125
1516786562846329,8.625,-3.0625,-9.1875
1516786562869391,15.4375,-2.9375,-11
1516786562885432,18.875,-3.5,-9.9375
1516786562938573,16.375,-4.875,-7.875
1516786562939576,14.4375,-4.4375,-7.875
1516786562949604,14.6875,-1.625,-9.75
1516786562966654,15,1.875,-11.625
1516786562982692,16.75,1.5,-9.125
1516786563007758,19.9375,0.875,-8.5
1516786563048899,24.25,0,-9.125
1516786563058929,19.75,1.8125,-5.9375
1516786563064909,7.0625,-8.25,-0.5625
1516786563087120,-32.1875,-14.125,-0.25
1516786563109026,-113.563,4.25,-1.4375
1516786563123065,-120.125,18.75,59.6875
1516786563147300,-71.5625,6.1875,128.25
1516786563169188,78.4375,6.9375,216.188
1516786563184229,82.3125,12.8125,253.438
1516786563207377,25.5625,5.4375,243.25
1516786563229347,32.625,-1.5,258
1516786563243531,45.875,-12.3125,265.938
1516786563267447,34.875,-28.75,260.938
1516786563289541,11,-52.625,247.938
1516786563303703,10.4375,-70.75,225.75
1516786563326607,20.5,-80.5625,199.125
1516786563342650,19.75,-93.25,160.438
1516786563363705,-9.25,-117.313,112.75
1516786563386792,-14.875,-133,67.4375
1516786563402807,-12.625,-137.375,38.5625
1516786563424015,-14.5625,-137.813,17.0625
1516786563446928,22.875,-99.1875,-15
1516786563462971,97.25,-57.5625,-43.625
1516786563484179,158.75,-40.25,-49.5
1516786563507303,163.5,-40.4375,-32.25
1516786563522127,124.063,-40.5,-20.75
1516786563543183,75.5625,-49.9375,-10.8125
1516786563567488,42.75,-54,7.625
1516786563582303,57.4375,-53.375,27.9375
1516786563604344,99.125,-52.5625,43.0625
1516786563627504,137.563,-58.4375,82.6875
1516786563642465,283.563,-28.4375,94.1875
1516786563665508,210.75,-28.3125,-15.1875
1516786563686565,43.875,-36.875,-73.5
1516786563702607,-56.375,-51.8125,-2.4375
1516786563724802,-170.438,-36.875,14.4375
1516786563746724,-79.125,0.0625,45.6875
1516786563762767,-81.5625,32.5,37.4375
1516786563784826,-183.813,24.75,12.8125
1516786563807117,-228,18.3125,10.75
1516786563822927,-247.813,22.625,10.875
1516786563844984,-263.313,26.3125,-17.375
1516786563867055,-163.625,41.625,-32.5
1516786563882235,-136.75,24.75,-44.3125
1516786563905146,-96.375,2.9375,-24.25
1516786563927407,-86.3125,-7.6875,-14.3125
1516786563942250,-73.25,-8.5625,-29
1516786563965337,-39.5,-4.75,-41.875
1516786563986360,-5.75,-7.625,-46.4375
1516786564002411,10.9375,-17.8125,-41.625
1516786564025485,19.3125,-26.1875,-26.8125
1516786564048527,33.875,-30.3125,-12.9375
1516786564069614,47.375,-31.25,-3.125
1516786564084623,53.5,-29.75,-0.0625
1516786564107684,50.0625,-26.3125,0.375
1516786564129743,40.375,-19.875,0
1516786564144781,30.0625,-10.5625,-1.25
1516786564167842,17.6875,1.1875,-2.75
1516786564190906,1.375,12.75,-5.375
1516786564204955,-8.8125,22.25,-3.8125
1516786564228006,-16.5625,24.75,-0.0625
1516786564251065,-23,23.4375,-3.6875
1516786564265102,-29.5625,14.9375,-4.375
1516786564288183,-28.8125,4.5,-0.5625
1516786564311361,-14.0625,8.875,-0.5625
1516786564332418,14.0625,17.4375,6.9375
1516786564347322,53.3125,33.125,31.4375
1516786564361579,77.9375,46.5,5.5
1516786564383564,132.063,50.6875,11.3125
1516786564406599,141.938,44,1.3125
1516786564421663,153.313,27.625,-12.4375
1516786564444799,156.938,3.4375,-14.125
1516786564466867,156.438,-18.0625,-21.6875
1516786564481865,169.25,-36.0625,-29.5625
1516786564504977,197.188,-49.3125,-29.8125
1516786564526952,197.813,-55.125,-19.375
1516786564540860,147.688,-58.875,-32
1516786564563965,133.75,-52.9375,-47.625
1516786564579166,140.375,-57.9375,-50.875
1516786564601149,145,-72.1875,-66.25
1516786564624269,180.563,-99.5,-65.1875
1516786564639230,161.125,-108.125,-71.0625
1516786564661310,127.5,-94.3125,-80.75
1516786564684362,117,-69.0625,-108.313
1516786564698254,124.875,-60.1875,-121.25
1516786564721462,121.938,-61.3125,-136.75
1516786564744398,119.375,-60.625,-154.813
1516786564758415,110.313,-56,-170.375
1516786564781476,108.063,-54.5625,-183.188
1516786564803685,93.75,-57.3125,-198
1516786564818575,76.0625,-51.5,-216.813
1516786564841730,57.9375,-47.0625,-230.375
1516786564864707,32.4375,-55.75,-244.438
1516786564878873,7.3125,-70.75,-257.125
1516786564900796,-17.75,-76.8125,-275
1516786564923853,-21.8125,-81.5625,-301.875
1516786564938895,-59,-109.313,-335.313
1516786564960952,-118,-156.438,-385.938
1516786564984015,-156,-207.938,-416.938
1516786564999055,-223.25,-248,-425.125
