timestamp,x,y,z,w
1524564439172257,-0.158081,0.0275269,-0.21283,-0.963867
1524564439188297,-0.15741,0.02771,-0.213257,-0.963867
1524564439210357,-0.157471,0.0280151,-0.213928,-0.963684
1524564439233418,-0.157104,0.0286255,-0.214417,-0.963623
1524564439248457,-0.155151,0.0293579,-0.214905,-0.963806
1524564439255478,-0.1521,0.0299683,-0.215515,-0.964172
1524564439286558,-0.148743,0.0311279,-0.216248,-0.964478
1524564439301602,-0.145752,0.0332642,-0.216858,-0.964722
1524564439347721,-0.142761,0.0353394,-0.216919,-0.965088
1524564439349727,-0.141357,0.0368652,-0.216309,-0.965393
1524564439361758,-0.142944,0.0383301,-0.215698,-0.96521
1524564439377802,-0.147644,0.0355225,-0.215332,-0.964722
1524564439397855,-0.156799,0.0292969,-0.216919,-0.963135
1524564439460020,-0.161499,0.0228882,-0.220581,-0.96167
1524564439461023,-0.160889,0.015686,-0.225525,-0.960815
1524564439462026,-0.162964,0.00897217,-0.231934,-0.958984
1524564439480073,-0.168518,0.00219727,-0.239624,-0.956177
1524564439503135,-0.172852,-0.00476074,-0.247681,-0.953308
1524564439517173,-0.174561,-0.0118408,-0.256165,-0.950684
1524564439540247,-0.17395,-0.0179443,-0.265076,-0.948303
1524564439554272,-0.171265,-0.0230103,-0.274353,-0.946045
1524564439577332,-0.167847,-0.0256348,-0.284302,-0.943604
1524564439599390,-0.163818,-0.0264893,-0.294678,-0.941101
1524564439614431,-0.158875,-0.0259399,-0.304932,-0.938721
1524564439637493,-0.153381,-0.0251465,-0.314697,-0.936401
1524564439668600,-0.149048,-0.0244141,-0.323303,-0.934204
1524564439675035,-0.14624,-0.0233765,-0.331055,-0.931946
1524564439697683,-0.143066,-0.0217896,-0.338013,-0.929993
1524564439719742,-0.140137,-0.0205688,-0.34375,-0.928345
1524564439734800,-0.138306,-0.0199585,-0.34845,-0.92688
1524564439756845,-0.136536,-0.0192871,-0.351624,-0.925964
1524564439782910,-0.133606,-0.0187988,-0.353394,-0.92572
1524564439794942,-0.130371,-0.0187378,-0.354004,-0.925964
1524564439817000,-0.127991,-0.0195923,-0.353516,-0.926453
1524564439840099,-0.128174,-0.0213623,-0.352844,-0.926636
1524564439856107,-0.128174,-0.022644,-0.352051,-0.926941
1524564439877159,-0.127991,-0.0238647,-0.351624,-0.927063
1524564439895208,-0.128357,-0.0246582,-0.351318,-0.927124
1524564439917268,-0.12915,-0.0251465,-0.350952,-0.927185
1524564439944339,-0.129456,-0.026123,-0.349976,-0.927429
1524564439955369,-0.129272,-0.0269165,-0.349121,-0.927795
1524564439976425,-0.128845,-0.0274048,-0.348511,-0.92804
1524564439997480,-0.127625,-0.02771,-0.348083,-0.928345
1524564440015528,-0.126343,-0.027832,-0.346985,-0.928955
1524564440036586,-0.126099,-0.0285034,-0.345459,-0.929504
1524564440058643,-0.125793,-0.0287476,-0.344543,-0.929932
1524564440074686,-0.124573,-0.0285034,-0.343994,-0.930298
1524564440095741,-0.12323,-0.0280151,-0.343445,-0.930664
1524564440116797,-0.123108,-0.0281372,-0.342529,-0.93103
1524564440134847,-0.123474,-0.0282593,-0.341797,-0.931213
1524564440155906,-0.123108,-0.0285034,-0.341309,-0.931458
1524564440176958,-0.12323,-0.0286865,-0.341187,-0.931519
1524564440195006,-0.124146,-0.0284424,-0.341064,-0.931396
1524564440224090,-0.123901,-0.0276489,-0.341064,-0.931458
1524564440240134,-0.122864,-0.0264282,-0.341187,-0.93158
1524564440255166,-0.122253,-0.0255127,-0.34137,-0.931641
1524564440277224,-0.122253,-0.0252686,-0.341309,-0.931702
1524564440297277,-0.122681,-0.0255127,-0.341187,-0.931641
1524564440315326,-0.123169,-0.0257568,-0.341187,-0.93158
1524564440338387,-0.123108,-0.0253906,-0.341309,-0.931519
1524564440357445,-0.121948,-0.0246582,-0.341614,-0.931641
1524564440375485,-0.121582,-0.0241699,-0.341858,-0.93158
1524564440397544,-0.121948,-0.0237427,-0.341736,-0.93158
1524564440417598,-0.121826,-0.0233765,-0.341553,-0.931702
1524564440447677,-0.12146,-0.0230103,-0.341309,-0.931824
1524564440464723,-0.12085,-0.022644,-0.341309,-0.931946
1524564440479763,-0.119568,-0.022522,-0.341187,-0.932129
1524564440501834,-0.119019,-0.0227051,-0.340637,-0.932373
1524564440516861,-0.119629,-0.0234375,-0.340088,-0.932495
1524564440538921,-0.1203,-0.0240479,-0.339539,-0.932617
1524564440559976,-0.120178,-0.024292,-0.33905,-0.9328
1524564440577022,-0.119019,-0.0241699,-0.338501,-0.933105
1524564440599080,-0.118591,-0.0244141,-0.33783,-0.933411
1524564440620137,-0.119507,-0.0252686,-0.337097,-0.933533
1524564440637223,-0.1203,-0.0259399,-0.336243,-0.933777
1524564440659241,-0.120483,-0.0263062,-0.335632,-0.93396
1524564440682301,-0.1203,-0.0263672,-0.335022,-0.934204
1524564440696371,-0.119751,-0.0263062,-0.334351,-0.934509
1524564440726418,-0.119263,-0.0261841,-0.333496,-0.934875
1524564440741459,-0.120056,-0.0263062,-0.332886,-0.934998
1524564440756511,-0.121338,-0.0262451,-0.332581,-0.934937
1524564440785610,-0.121338,-0.0255127,-0.332336,-0.934998
1524564440801620,-0.120605,-0.0244751,-0.332153,-0.935181
1524564440816684,-0.120239,-0.0235596,-0.33197,-0.935364
1524564440839728,-0.119934,-0.0227051,-0.331909,-0.935425
1524564440861779,-0.119324,-0.0219727,-0.331848,-0.935547
1524564440875818,-0.119141,-0.0214844,-0.331726,-0.935608
1524564440898878,-0.118896,-0.0211792,-0.331482,-0.93573
1524564440921941,-0.118774,-0.0214844,-0.330994,-0.935913
1524564440935978,-0.118835,-0.0220947,-0.330383,-0.936096
1524564440974077,-0.119019,-0.0231934,-0.329773,-0.936279
1524564440982100,-0.119568,-0.0245972,-0.328979,-0.936462
1524564441010173,-0.120605,-0.0258789,-0.328125,-0.936584
1524564441019213,-0.121765,-0.0270996,-0.327637,-0.936584
1524564441042261,-0.123047,-0.0282593,-0.327393,-0.936462
1524564441056301,-0.123779,-0.0292358,-0.327393,-0.93634
1524564441079359,-0.124329,-0.0297241,-0.327576,-0.936157
1524564441102438,-0.124634,-0.0299072,-0.328064,-0.935974
1524564441116457,-0.125061,-0.0299072,-0.328552,-0.93573
1524564441139519,-0.125244,-0.0293579,-0.328857,-0.935608
1524564441169632,-0.125183,-0.0285645,-0.328918,-0.935608
1524564441190664,-0.125305,-0.027771,-0.329041,-0.935608
1524564441199678,-0.125549,-0.0267944,-0.329163,-0.935547
1524564441221737,-0.124512,-0.0253906,-0.329224,-0.93573
1524564441242826,-0.122681,-0.0238037,-0.329224,-0.935974
1524564441259839,-0.120911,-0.022522,-0.329346,-0.936218
1524564441281898,-0.119873,-0.0214844,-0.329407,-0.93634
1524564441302982,-0.118774,-0.020752,-0.329285,-0.936523
1524564441319005,-0.118225,-0.0205688,-0.329224,-0.936646
1524564441342064,-0.11853,-0.020752,-0.328979,-0.936707
1524564441363112,-0.119507,-0.0212402,-0.328552,-0.936707
1524564441379155,-0.121033,-0.0221558,-0.32782,-0.936768
1524564441402220,-0.122925,-0.0233154,-0.326965,-0.936768
1524564441423274,-0.124878,-0.0241089,-0.326233,-0.936707
1524564441445331,-0.126404,-0.024231,-0.3255,-0.936768
1524564441461374,-0.126892,-0.0239258,-0.325012,-0.93689
1524564441482429,-0.127197,-0.0231323,-0.324768,-0.936951
1524564441499475,-0.127686,-0.0223389,-0.324585,-0.936951
1524564441521535,-0.127991,-0.0213623,-0.324341,-0.937012
1524564441542591,-0.128174,-0.0206909,-0.324158,-0.937073
1524564441559635,-0.128784,-0.0197144,-0.323914,-0.937134
1524564441581695,-0.128906,-0.0185547,-0.323547,-0.937256
1524564441610771,-0.128479,-0.0172119,-0.322937,-0.937561
