timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1,9,-9,-4,2,2,1,2,17
1,-2,-6,-5,-6,-1,-1,-4,42
1,-5,19,-2,-8,-5,-1,-4,-58
1,-8,-3,-9,-3,-1,-5,4,-2
1,-7,0,8,7,1,1,2,-8
1,0,-5,-6,1,0,3,-5,11
1,5,-6,4,0,0,-10,-19,2
1,-12,21,-6,1,2,8,0,-8
1,-2,-3,7,-2,-2,-2,10,-58
1,13,5,-3,1,3,2,-8,47
1,13,5,8,4,-4,-2,12,4
1,2,-1,0,-6,0,1,-6,7
1,0,3,14,10,2,2,10,6
1,-11,-7,-11,1,0,2,2,-22
1,-4,13,-3,-8,-1,-2,-5,-8
1,-10,-13,-3,-8,-5,-8,-2,15
1,7,-1,4,4,3,2,26,41
1,5,-3,-12,-4,1,7,3,8
1,-8,-4,-9,-9,-6,-7,-3,-15
1,4,-16,12,3,0,2,11,-7
1,0,4,-9,2,4,2,-11,-3
1,4,6,11,-1,-6,-4,17,25
1,-8,-22,-17,-8,-3,1,5,-3
1,1,0,7,-3,0,-1,-2,-5
1,4,-4,-6,2,3,9,0,16
1,6,7,12,7,9,8,2,2
1,6,-15,-1,-7,-6,-6,8,26
1,0,-1,-5,-1,-6,-8,1,-15
1,-9,-7,-1,1,2,4,-9,-16
1,-21,-11,-8,-3,-8,-11,-7,-27
1,-7,-5,10,-2,-2,-1,-5,-2
1,3,-2,-8,4,2,6,1,26
1,-11,-9,-7,-10,-5,-7,-17,-25
1,5,3,3,3,0,0,2,-6
1,-20,-14,-15,-5,-7,-5,-1,-8
1,12,7,-3,0,-1,-10,0,14
1,-18,-9,-10,-8,-3,-2,-5,-10
1,8,-2,22,6,-1,2,-11,11
1,-6,8,-19,3,1,-1,-1,-10
1,10,8,12,-6,-1,-1,1,17
1,0,0,-1,9,1,-1,-9,9
1,-4,3,1,-8,-6,-5,-5,-26
1,-3,-7,0,1,3,6,0,28
1,-2,-6,-11,-1,1,7,-14,1
1,-8,0,0,-9,-11,-16,-13,-10
1,-1,-5,-4,3,1,2,-7,3
1,3,24,21,6,4,8,-2,-11
1,6,4,-5,-1,-4,-11,-3,10
1,-9,-14,-4,-1,6,9,-1,22
1,1,-1,-9,-4,-6,-3,-4,-32
1,-16,-7,0,-1,1,-15,-7,-20
1,-11,-11,-2,0,-4,-3,0,-27
1,15,8,11,3,1,5,-1,22
1,-4,-6,-4,-3,2,11,16,-4
1,10,0,2,6,0,-1,-5,10
1,-7,-5,-7,-9,-3,-5,-3,-6
1,1,-1,3,4,1,0,9,12
1,-2,6,11,2,3,-1,-11,-10
1,11,-3,-3,-2,-2,0,6,4
1,-11,-3,1,4,1,6,0,24
1,-1,-10,-15,-10,-8,-10,-16,-54
1,8,-9,15,9,5,4,16,24
1,4,-3,-4,1,1,-4,0,-40
1,-2,2,7,1,-1,-2,5,31
1,7,17,4,0,-4,-1,-8,16
1,-1,0,-26,-10,0,1,-4,4
1,-9,-9,-2,-1,-1,4,1,-4
1,9,3,-4,-1,2,2,1,19
1,0,-6,-14,-3,1,3,-3,15
1,-11,2,1,3,-2,-6,-9,-22
1,5,-1,-12,-6,-1,5,18,-18
1,-3,-3,10,-1,-4,-8,-9,0
1,-10,0,-2,-7,-4,-7,-7,-16
1,10,0,-16,-3,-4,-8,-4,-20
1,-2,-4,16,6,4,5,-7,14
1,12,21,3,1,3,9,4,-10
1,6,-8,-2,-2,-2,0,-4,18
1,-7,4,-5,-8,-6,-15,-13,22
1,-6,5,7,2,1,3,10,3
1,-13,-18,-10,-8,-7,-19,-1,-36
1,14,24,8,7,5,7,-1,15
1,-15,-9,0,-3,-1,-2,-7,-17
1,2,-2,5,1,-3,-3,-1,16
1,2,-12,-15,-7,-2,1,2,-33
1,-3,-1,1,0,1,4,-7,-13
1,11,5,13,11,1,-3,0,44
1,5,-5,-6,-4,-4,-3,2,13
1,5,27,9,1,0,3,2,50
1,-4,-9,-1,1,0,0,-7,1
1,-4,4,-1,-13,-9,-18,-6,-14
1,2,0,-5,0,1,3,-2,17
1,11,-10,-5,0,-1,0,-3,-19
1,-15,-2,-8,-7,-5,-1,6,-4
1,7,4,4,4,0,0,5,21
1,-8,-6,4,-2,-1,-3,-5,-28
1,3,1,-2,1,3,3,-2,8
1,0,-6,-1,-3,-5,-13,-3,-6
1,4,-1,9,1,-1,4,5,-7
1,-12,-5,-9,-9,-7,-7,-9,3
1,-3,2,-4,-3,-2,-3,2,-11
1,-6,-15,1,0,-4,-7,11,11
1,-5,1,1,1,1,2,-1,-14
1,17,17,2,3,5,7,-2,47
1,-11,-12,9,1,-4,-2,-7,-51
1,10,9,-2,-1,2,3,-7,-7
1,16,23,-11,-5,-4,-5,-5,20
1,-8,-12,-5,-1,-1,-6,-4,1
1,-11,-12,-6,-1,-2,-3,-2,9
1,10,4,3,1,1,6,5,21
1,-5,-8,-2,0,2,9,10,-39
1,-6,-1,-4,-4,-2,-10,-18,-6
1,4,10,-3,2,-3,-10,3,9
1,-15,-6,5,-4,0,0,7,-20
1,-1,-11,-15,-3,1,9,3,19
1,-2,-5,-1,1,-8,-9,-1,-19
1,11,1,9,8,5,6,-5,16
1,-3,-24,-24,-6,-2,-5,-8,-27
1,-16,-4,11,1,-2,-5,-18,-8
1,6,10,5,-1,3,6,3,-3
1,6,-2,6,4,0,5,-14,38
1,-7,-2,-9,-6,-4,0,-12,-24
1,-7,-2,-9,-6,-4,-7,-25,-29
1,11,-3,9,3,-3,-1,1,4
1,-14,1,-7,-3,1,0,-9,-33
1,5,6,4,1,1,0,11,27
1,1,-19,4,2,-1,-2,0,23
1,2,18,-9,-1,-2,1,-3,-25
1,-1,-23,4,-17,-7,-7,-11,-39
1,-15,-6,-3,13,4,5,-6,6
1,0,3,4,-2,1,-1,0,-34
1,2,-2,8,5,0,-1,9,-2
1,-4,0,-4,-1,0,4,12,14
1,9,6,7,-4,-5,-7,-17,-55
1,-7,-15,-9,0,0,3,7,19
1,-8,-2,0,-1,3,6,8,-21
1,-4,11,-7,0,-1,-3,-1,-12
1,-6,1,-1,-2,-3,-14,-14,-8
1,2,9,1,0,-2,3,3,15
1,15,2,1,-1,1,3,-8,13
1,-20,-10,-8,1,1,3,7,-14
1,-3,1,-8,-8,-3,3,0,-6
1,9,-9,13,4,0,-2,2,56
1,-9,-13,-21,-13,-3,1,4,-21
1,3,-8,5,8,-2,-14,-19,-2
1,8,7,-3,-2,0,5,4,37
1,-12,-3,-9,-2,-1,-5,-4,-26
1,-12,-4,-1,-3,-1,-2,-5,2
1,13,7,-1,3,1,6,8,12
1,4,2,8,2,2,2,-7,22
1,-14,-10,-14,-11,-5,-12,-5,-4
1,-1,-1,4,11,7,4,-6,8
1,9,4,-5,-3,0,0,8,-5
1,-7,3,0,-2,-4,-8,-8,-26
1,5,16,7,7,4,8,1,56
1,-6,-14,-8,-6,-4,-7,-12,-3
1,-4,14,4,0,1,4,-3,-10
1,10,2,10,0,-1,-3,0,13
1,6,-2,0,4,2,14,11,5
1,-1,2,-4,-1,-6,-11,-11,-25
1,-13,-6,-23,-12,-8,-11,-4,25
1,0,1,7,4,6,7,3,14
1,1,0,-8,-6,-1,1,-4,-41
1,0,2,6,0,-1,9,6,25
1,3,0,4,0,-4,-3,-5,-4
1,-5,-11,-15,-4,1,-2,0,-11
1,2,-1,-6,-1,4,6,-6,-19
1,7,-8,6,2,-2,-10,-10,13
1,-6,-2,-17,-7,-7,-16,4,-30
1,-5,-10,9,-1,-2,2,-7,26
1,15,3,6,-1,-3,-3,1,28
1,-13,-7,-3,2,0,6,4,-31
1,-7,-14,8,6,1,-1,-9,6
1,23,9,-5,-1,-1,1,5,24
1,-9,-5,-11,-2,0,-2,-4,-19
1,0,7,2,1,0,3,14,1
1,10,3,8,2,0,9,-5,6
1,-17,-11,-16,-10,-6,-3,0,-25
1,1,-3,8,0,-3,-5,2,32
1,8,-6,6,4,0,-6,9,-17
1,-16,10,0,4,4,9,-2,-26
1,-2,0,-4,-4,-3,-9,-6,-12
1,-7,-3,-7,1,4,7,-2,22
1,-1,21,9,-3,-6,-1,18,5
1,17,0,-8,2,3,-2,-12,50
1,-11,1,7,-6,-9,-18,-2,-25
1,-13,1,0,-3,-5,-11,-5,-16
1,10,7,5,10,5,10,0,28
1,5,-1,-3,-6,2,8,8,-22
1,-10,-1,7,5,2,9,-2,5
1,-6,-2,-8,-6,-11,-22,-3,-39
1,-2,-5,-14,-11,1,2,-11,3
1,4,4,10,3,-2,0,0,19
1,-2,-9,3,1,0,4,1,-39
1,-8,1,-4,-1,0,-4,-18,-8
1,-14,-5,-4,-6,-2,-2,-8,-25
1,3,-9,-3,-1,-4,3,6,19
1,-1,1,-10,-1,2,3,-2,29
1,15,11,1,-1,1,4,-11,-2
1,-12,-13,-4,-4,-5,-5,-8,-1
1,1,3,4,-8,-2,-3,-6,-2
2,10,-4,8,10,-4,-6,-2,8
2,-1,-3,-6,1,4,13,8,-4
2,0,-10,-3,-3,-5,-18,-16,-11
2,-8,2,-3,-3,-5,-1,1,-9
2,0,23,-7,-5,-2,-1,-15,-14
2,-6,-7,9,2,0,3,1,-20
2,19,7,-13,-2,-1,2,4,40
2,-17,-14,-7,-4,-4,-10,-6,-33
2,0,-1,6,3,2,3,0,-10
2,-3,5,0,-3,-5,-1,-5,10
2,-6,-13,-12,-5,2,6,7,14
2,-6,-5,-7,-1,2,1,-3,7
2,-1,-9,-9,-5,-6,-11,-6,-3
2,12,2,3,-3,3,9,5,6
2,-11,-4,10,0,-1,-5,4,-17
